رقم,الإجراء المطلوب,المسار الحالي,الاسم الحالي,الاسم الصحيح الجديد
446,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > volkswagen,volkswagen,Volkswagen
447,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > volta,volta,Volta
448,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > volvo,volvo,Volvo
449,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > yuki,yuki,Yuki
450,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > شاحنات رينو,شاحنات رينو,Renault
451,تعديل الاسم,المركبات > المركبات التجارية > الشاحنات والشاحنات الخفيفة > شاحنات فورد,شاحنات فورد,Ford
452,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > bmc,bmc,BMC
453,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > citroen,citroen,Citroen
454,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > fiat,fiat,Fiat
455,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > ford otosan,ford otosan,Ford Otosan
456,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > gaz,gaz,GAZ
457,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > hyundai,hyundai,Hyundai
458,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > isuzu,isuzu,Isuzu
459,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > iveco- otoyol,iveco- otoyol,Iveco-Otoyol
460,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > karsan,karsan,Karsan
461,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > kia,kia,Kia
462,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > magirus,magirus,Magirus
463,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > man,man,MAN
464,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > mercedes- benz,mercedes- benz,Mercedes-Benz
465,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > mitsubishi,mitsubishi,Mitsubishi
466,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > opel,opel,Opel
467,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > otokar,otokar,Otokar
468,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > peugeot,peugeot,Peugeot
469,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > renault,renault,Renault
470,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > temsa,temsa,TEMSA
471,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > volkswagen,volkswagen,Volkswagen
472,تعديل الاسم,المركبات > المركبات التجارية > الميني باص والميدي باص > سلاسل أخرى,سلاسل أخرى,ماركات أخرى
473,تعديل الاسم,المركبات > سيارات > أوبل > GT رودستر,GT رودستر,GT Roadster
474,تعديل الاسم,المركبات > سيارات > أوبل > آدم,آدم,Adam
475,تعديل الاسم,المركبات > سيارات > أوبل > أجيلا,أجيلا,Agila
476,تعديل الاسم,المركبات > سيارات > أوبل > أسترا,أسترا,Astra
477,تعديل الاسم,المركبات > سيارات > أوبل > أسترا e,أسترا e,Astra-e
478,تعديل الاسم,المركبات > سيارات > أوبل > أسكونا,أسكونا,Ascona
479,تعديل الاسم,المركبات > سيارات > أوبل > أمبيرا,أمبيرا,Ampera
480,تعديل الاسم,المركبات > سيارات > أوبل > أوميغا,أوميغا,Omega
481,تعديل الاسم,المركبات > سيارات > أوبل > إنسيجنيا,إنسيجنيا,Insignia
482,تعديل الاسم,المركبات > سيارات > أوبل > تيغرا,تيغرا,Tigra
483,تعديل الاسم,المركبات > سيارات > أوبل > ريكورد,ريكورد,Rekord
484,تعديل الاسم,المركبات > سيارات > أوبل > زافيرا,زافيرا,Zafira
485,تعديل الاسم,المركبات > سيارات > أوبل > سيغنم,سيغنم,Signum
486,تعديل الاسم,المركبات > سيارات > أوبل > فيكترا,فيكترا,Vectra
487,تعديل الاسم,المركبات > سيارات > أوبل > كاديت,كاديت,Kadett
488,تعديل الاسم,المركبات > سيارات > أوبل > كارل,كارل,Karl
489,تعديل الاسم,المركبات > سيارات > أوبل > كاسكادا,كاسكادا,Cascada
490,تعديل الاسم,المركبات > سيارات > أوبل > كاليبرا,كاليبرا,Calibra
491,تعديل الاسم,المركبات > سيارات > أوبل > كورسا,كورسا,Corsa
492,تعديل الاسم,المركبات > سيارات > أوبل > كورسا e,كورسا e,Corsa-e
493,تعديل الاسم,المركبات > سيارات > أوبل > ميريفا,ميريفا,Meriva
494,تعديل الاسم,المركبات > سيارات > أودي > RS,RS,RS Series
495,تعديل الاسم,المركبات > سيارات > أودي > إي-ترون GT,إي-ترون GT,e-tron GT
496,تعديل الاسم,المركبات > سيارات > أودي > سلسلة 100,سلسلة 100,100 Series
497,تعديل الاسم,المركبات > سيارات > أودي > سلسلة 80,سلسلة 80,80 Series
498,تعديل الاسم,المركبات > سيارات > أودي > سلسلة S,سلسلة S,S Series
499,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 1,الفئة 1,1 Series
500,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 2,الفئة 2,2 Series
501,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 3,الفئة 3,3 Series
502,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 4,الفئة 4,4 Series
503,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 5,الفئة 5,5 Series
504,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 6,الفئة 6,6 Series
505,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 7,الفئة 7,7 Series
506,تعديل الاسم,المركبات > سيارات > بي إم دبليو > الفئة 8,الفئة 8,8 Series
507,تعديل الاسم,المركبات > سيارات > بي إم دبليو > فئة i,فئة i,i Series
508,تعديل الاسم,المركبات > سيارات > بيجو > 206 بلس,206 بلس,206 +
509,تعديل الاسم,المركبات > سيارات > بيجو > بارس,بارس,Pars
510,تعديل الاسم,المركبات > سيارات > تويوتا > أفينسيس,أفينسيس,Avensis
511,تعديل الاسم,المركبات > سيارات > تويوتا > ألتيزا,ألتيزا,Altezza
512,تعديل الاسم,المركبات > سيارات > تويوتا > أوربان كروزر,أوربان كروزر,Urban Cruiser
513,تعديل الاسم,المركبات > سيارات > تويوتا > أوريس,أوريس,Auris
514,تعديل الاسم,المركبات > سيارات > تويوتا > بريفيا,بريفيا,Previa
515,تعديل الاسم,المركبات > سيارات > تويوتا > بريوس,بريوس,Prius
516,تعديل الاسم,المركبات > سيارات > تويوتا > تيرسل,تيرسل,Tercel
517,تعديل الاسم,المركبات > سيارات > تويوتا > ستارليت,ستارليت,Starlet
518,تعديل الاسم,المركبات > سيارات > تويوتا > سوبرا,سوبرا,Supra
519,تعديل الاسم,المركبات > سيارات > تويوتا > فيرسو,فيرسو,Verso
520,تعديل الاسم,المركبات > سيارات > تويوتا > كارينا,كارينا,Carina
521,تعديل الاسم,المركبات > سيارات > تويوتا > كامري,كامري,Camry
522,تعديل الاسم,المركبات > سيارات > تويوتا > كريسيدا,كريسيدا,Cressida
523,تعديل الاسم,المركبات > سيارات > تويوتا > كورولا,كورولا,Corolla
524,تعديل الاسم,المركبات > سيارات > تويوتا > كورونا,كورونا,Corona
525,تعديل الاسم,المركبات > سيارات > تويوتا > يارس,يارس,Yaris
526,تعديل الاسم,المركبات > سيارات > رينو > إسباس,إسباس,Espace
527,تعديل الاسم,المركبات > سيارات > رينو > تاليسمان,تاليسمان,Talisman
528,تعديل الاسم,المركبات > سيارات > رينو > تالينت,تالينت,Taliant
529,تعديل الاسم,المركبات > سيارات > رينو > تندار,تندار,Tondar
530,تعديل الاسم,المركبات > سيارات > رينو > تويزي,تويزي,Twizy
531,تعديل الاسم,المركبات > سيارات > رينو > توينغو,توينغو,Twingo
532,تعديل الاسم,المركبات > سيارات > رينو > جراند سينيك,جراند سينيك,Grand Scenic
533,تعديل الاسم,المركبات > سيارات > رينو > جراند مودوس,جراند مودوس,Grand Modus
534,تعديل الاسم,المركبات > سيارات > رينو > زوي,زوي,ZOE
535,تعديل الاسم,المركبات > سيارات > رينو > سافران,سافران,Safrane
536,تعديل الاسم,المركبات > سيارات > رينو > سيمبول,سيمبول,Symbol
537,تعديل الاسم,المركبات > سيارات > رينو > سينيك,سينيك,Scenic
538,تعديل الاسم,المركبات > سيارات > رينو > فلوانس,فلوانس,Fluence
539,تعديل الاسم,المركبات > سيارات > رينو > فيل ساتيس,فيل ساتيس,Vel Satis
540,تعديل الاسم,المركبات > سيارات > رينو > كليو,كليو,Clio
541,تعديل الاسم,المركبات > سيارات > رينو > لاتيتيود,لاتيتيود,Latitude
542,تعديل الاسم,المركبات > سيارات > رينو > لاغونا,لاغونا,Laguna
543,تعديل الاسم,المركبات > سيارات > رينو > مودوس,مودوس,Modus
544,تعديل الاسم,المركبات > سيارات > رينو > ميغان,ميغان,Megane
545,تعديل الاسم,المركبات > سيارات > فورد > أوريون,أوريون,Orion
546,تعديل الاسم,المركبات > سيارات > فورد > إس ماكس,إس ماكس,S-Max
547,تعديل الاسم,المركبات > سيارات > فورد > إسكورت,إسكورت,Escort
548,تعديل الاسم,المركبات > سيارات > فورد > بروب,بروب,Probe
549,تعديل الاسم,المركبات > سيارات > فورد > بوما,بوما,Puma
550,تعديل الاسم,المركبات > سيارات > فورد > بي ماكس,بي ماكس,B-Max
551,تعديل الاسم,المركبات > سيارات > فورد > تاونوس,تاونوس,Taunus
552,تعديل الاسم,المركبات > سيارات > فورد > توروس,توروس,Taurus
553,تعديل الاسم,المركبات > سيارات > فورد > سكوربيو,سكوربيو,Scorpio
554,تعديل الاسم,المركبات > سيارات > فورد > سي ماكس,سي ماكس,C-Max
555,تعديل الاسم,المركبات > سيارات > فورد > سييرا,سييرا,Sierra
556,تعديل الاسم,المركبات > سيارات > فورد > غالاكسي,غالاكسي,Galaxy
557,تعديل الاسم,المركبات > سيارات > فورد > غراند سي ماكس,غراند سي ماكس,Grand C-Max
558,تعديل الاسم,المركبات > سيارات > فورد > غرناطة,غرناطة,Granada
559,تعديل الاسم,المركبات > سيارات > فورد > فستيڤا,فستيڤا,Festiva
560,تعديل الاسم,المركبات > سيارات > فورد > فوكس,فوكس,Focus
561,تعديل الاسم,المركبات > سيارات > فورد > فيوجن,فيوجن,Fusion
562,تعديل الاسم,المركبات > سيارات > فورد > فييستا,فييستا,Fiesta
563,تعديل الاسم,المركبات > سيارات > فورد > كا,كا,Ka
564,تعديل الاسم,المركبات > سيارات > فورد > كوغر,كوغر,Cougar
565,تعديل الاسم,المركبات > سيارات > فورد > موستانغ,موستانغ,Mustang
566,تعديل الاسم,المركبات > سيارات > فورد > موندو,موندو,Mondeo
567,تعديل الاسم,المركبات > سيارات > فولكس فاغن > أب كلوب,أب كلوب,Up Club
568,تعديل الاسم,المركبات > سيارات > فولكس فاغن > أرتيون,أرتيون,Arteon
569,تعديل الاسم,المركبات > سيارات > فولكس فاغن > إيوس,إيوس,EOS
570,تعديل الاسم,المركبات > سيارات > فولكس فاغن > باسات,باسات,Passat
571,تعديل الاسم,المركبات > سيارات > فولكس فاغن > باسات أولتراك,باسات أولتراك,Passat Alltrack
572,تعديل الاسم,المركبات > سيارات > فولكس فاغن > باسات فاريانت,باسات فاريانت,Passat Variant
573,تعديل الاسم,المركبات > سيارات > فولكس فاغن > بورا,بورا,Bora
574,تعديل الاسم,المركبات > سيارات > فولكس فاغن > بولو,بولو,Polo
575,تعديل الاسم,المركبات > سيارات > فولكس فاغن > بيتل,بيتل,Beetle
576,تعديل الاسم,المركبات > سيارات > فولكس فاغن > توران,توران,Touran
577,تعديل الاسم,المركبات > سيارات > فولكس فاغن > جيتا,جيتا,Jetta
578,تعديل الاسم,المركبات > سيارات > فولكس فاغن > سيروكو,سيروكو,Scirocco
579,تعديل الاسم,المركبات > سيارات > فولكس فاغن > شاران,شاران,Sharan
580,تعديل الاسم,المركبات > سيارات > فولكس فاغن > غولف,غولف,Golf
581,تعديل الاسم,المركبات > سيارات > فولكس فاغن > فايتون,فايتون,Phaeton
582,تعديل الاسم,المركبات > سيارات > فولكس فاغن > فينتو,فينتو,Vento
583,تعديل الاسم,المركبات > سيارات > فولكس فاغن > لوبو,لوبو,Lupo
584,تعديل الاسم,المركبات > سيارات > كيا > أوبتيما,أوبتيما,Optima
585,تعديل الاسم,المركبات > سيارات > كيا > أوبيروس,أوبيروس,Opirus
586,تعديل الاسم,المركبات > سيارات > كيا > برايد,برايد,Pride
587,تعديل الاسم,المركبات > سيارات > كيا > برو سيد,برو سيد,Pro Ceed
588,تعديل الاسم,المركبات > سيارات > كيا > بيكانتو,بيكانتو,Picanto
589,تعديل الاسم,المركبات > سيارات > كيا > جويس,جويس,Joice
590,تعديل الاسم,المركبات > سيارات > كيا > ريو,ريو,Rio
591,تعديل الاسم,المركبات > سيارات > كيا > ستينغر,ستينغر,Stinger
592,تعديل الاسم,المركبات > سيارات > كيا > سيد,سيد,Ceed
593,تعديل الاسم,المركبات > سيارات > كيا > سيراتو,سيراتو,Cerato
594,تعديل الاسم,المركبات > سيارات > كيا > سيفيا,سيفيا,Sephia
595,تعديل الاسم,المركبات > سيارات > كيا > شوما,شوما,Shuma
596,تعديل الاسم,المركبات > سيارات > كيا > فينجا,فينجا,Venga
597,تعديل الاسم,المركبات > سيارات > كيا > كابيتال,كابيتال,Capital
598,تعديل الاسم,المركبات > سيارات > كيا > كارنيفال,كارنيفال,Carnival
599,تعديل الاسم,المركبات > سيارات > كيا > كارينز,كارينز,Carens
600,تعديل الاسم,المركبات > سيارات > كيا > كلاروس,كلاروس,Clarus
601,تعديل الاسم,المركبات > سيارات > كيا > ماجنتيس,ماجنتيس,Magentis
602,تعديل الاسم,المركبات > سيارات > مازدا > 2,2,Mazda2
603,تعديل الاسم,المركبات > سيارات > مازدا > 3,3,Mazda3
604,تعديل الاسم,المركبات > سيارات > مازدا > 5,5,Mazda5
605,تعديل الاسم,المركبات > سيارات > مازدا > 6,6,Mazda6
606,تعديل الاسم,المركبات > سيارات > مازدا > MX,MX,MX Series
607,تعديل الاسم,المركبات > سيارات > مازدا > RX,RX,RX Series
608,تعديل الاسم,المركبات > سيارات > مازدا > بريماسي,بريماسي,Premacy
609,تعديل الاسم,المركبات > سيارات > مازدا > زيدوس,زيدوس,Xedos
610,تعديل الاسم,المركبات > سيارات > مازدا > لانتيس,لانتيس,Lantis
611,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة A,الفئة A,A-Class
612,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة B,الفئة B,B-Class
613,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة C,الفئة C,C-Class
614,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة E,الفئة E,E-Class
615,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة R,الفئة R,R-Class
616,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > الفئة S,الفئة S,S-Class
617,تعديل الاسم,المركبات > سيارات > مرسيدس-بنز > مايباخ S,مايباخ S,Maybach S-Class
618,تعديل الاسم,المركبات > سيارات > نيسان > التيما,التيما,Altima
619,تعديل الاسم,المركبات > سيارات > نيسان > الميرا,الميرا,Almera
620,تعديل الاسم,المركبات > سيارات > نيسان > بريmera,بريmera,Primera
621,تعديل الاسم,المركبات > سيارات > نيسان > بلوبيرد,بلوبيرد,Bluebird
622,تعديل الاسم,المركبات > سيارات > نيسان > بولسار,بولسار,Pulsar
623,تعديل الاسم,المركبات > سيارات > نيسان > بيكسو,بيكسو,Pixo
624,تعديل الاسم,المركبات > سيارات > نيسان > تينو,تينو,Tino
625,تعديل الاسم,المركبات > سيارات > نيسان > سكاي لاين,سكاي لاين,Skyline
626,تعديل الاسم,المركبات > سيارات > نيسان > صني,صني,Sunny
627,تعديل الاسم,المركبات > سيارات > نيسان > لوريل التيما,لوريل التيما,Laurel Altima
628,تعديل الاسم,المركبات > سيارات > نيسان > ماكسيما,ماكسيما,Maxima
629,تعديل الاسم,المركبات > سيارات > نيسان > ميكرا,ميكرا,Micra
630,تعديل الاسم,المركبات > سيارات > نيسان > نوت,نوت,Note
631,تعديل الاسم,المركبات > سيارات > هوندا > أكورد,أكورد,Accord
632,تعديل الاسم,المركبات > سيارات > هوندا > إنتيجرا,إنتيجرا,Integra
633,تعديل الاسم,المركبات > سيارات > هوندا > بريلود,بريلود,Prelude
634,تعديل الاسم,المركبات > سيارات > هوندا > جاز,جاز,Jazz
635,تعديل الاسم,المركبات > سيارات > هوندا > ستريم,ستريم,Stream
636,تعديل الاسم,المركبات > سيارات > هوندا > سيتي,سيتي,City
637,تعديل الاسم,المركبات > سيارات > هوندا > سيفيك,سيفيك,Civic
638,تعديل الاسم,المركبات > سيارات > هوندا > شاتل,شاتل,Shuttle
639,تعديل الاسم,المركبات > سيارات > هوندا > ليجند,ليجند,Legend
640,تعديل الاسم,المركبات > سيارات > هيونداي > أتوس,أتوس,Atos
641,تعديل الاسم,المركبات > سيارات > هيونداي > أكسنت,أكسنت,Accent
642,تعديل الاسم,المركبات > سيارات > هيونداي > أكسنت إيرا,أكسنت إيرا,Accent Era
643,تعديل الاسم,المركبات > سيارات > هيونداي > أكسنت بلو,أكسنت بلو,Accent Blue
644,تعديل الاسم,المركبات > سيارات > هيونداي > أيونيك,أيونيك,Ioniq
645,تعديل الاسم,المركبات > سيارات > هيونداي > إكسل,إكسل,Excel
646,تعديل الاسم,المركبات > سيارات > هيونداي > إلنترا,إلنترا,Elantra
647,تعديل الاسم,المركبات > سيارات > هيونداي > تراجيت,تراجيت,Trajet
648,تعديل الاسم,المركبات > سيارات > هيونداي > جينيسيس,جينيسيس,Genesis
649,تعديل الاسم,المركبات > سيارات > هيونداي > سوناتا,سوناتا,Sonata
650,تعديل الاسم,المركبات > سيارات > هيونداي > غراندور,غراندور,Grandeur
651,تعديل الاسم,المركبات > سيارات > هيونداي > غيتز,غيتز,Getz
652,تعديل الاسم,المركبات > سيارات > هيونداي > كوبيه,كوبيه,Coupe
653,تعديل الاسم,المركبات > سيارات > هيونداي > ماتريكس,ماتريكس,Matrix
654,تعديل الاسم,المركبات > سيارات دفع رباعي وبيك آب > Hyundai > Kona Elektrik,Kona Elektrik,Kona Electric
655,تعديل الاسم,المركبات > سيارات دفع رباعي وبيك آب > Mercedes-Benz > G Series,G Series,G-Class
656,تعديل الاسم,المركبات > سيارات دفع رباعي وبيك آب > Mercedes-Benz > GL,GL,GL-Class
657,تعديل الاسم,المركبات > سيارات دفع رباعي وبيك آب > Mercedes-Benz > X,X,X-Class
658,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > أجهزة تنقية المياه,أجهزة تنقية المياه,فلتر مياه
659,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > أفران الميكروويف,أفران الميكروويف,مايكرويف
660,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > ثلاجات,ثلاجات,براد
661,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > شفاطات المدى والمدخنة,شفاطات المدى والمدخنة,شفاط مطبخ
662,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > غسالات الصحون,غسالات الصحون,جلاية صحون
663,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > قبو النبيذ ومبرد,قبو النبيذ ومبرد,براد مشروبات
664,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > كووكتوبس,كووكتوبس,طباخ ليزري
665,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > مجففات,مجففات,نشافة ملابس
666,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > مجمدات,مجمدات,ثلاجة
667,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > موزعات المياه,موزعات المياه,براد ماء
668,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > موقد وفرن,موقد وفرن,طباخ مع فرن
669,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية > واشينج ماتشينيس,واشينج ماتشينيس,غسالة
670,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > آلات القهوة,آلات القهوة,ماكينة قهوة
671,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ألواح الكي,ألواح الكي,لوح كوي
672,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > بلينديرس,بلينديرس,خلاط عصير
673,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > تواستيرس,تواستيرس,محمصة خبز
674,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > تواصل مع الشواية / مكبس الساندويتش,تواصل مع الشواية / مكبس الساندويتش,سخانة سندويش
675,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > خلاطات,خلاطات,خلاط
676,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > روبوتيك فاكوومس,روبوتيك فاكوومس,مكنسة روبوت
677,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > سكاليس,سكاليس,ميزان مطبخ
678,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > صانع الثلج,صانع الثلج,ماكينة ثلج
679,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > صناع الزبادي,صناع الزبادي,ماكينة صنع اللبن
680,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > صناع الفشار,صناع الفشار,ماكينة بوشار
681,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > طباخات البخار,طباخات البخار,طباخ بخاري
682,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > طباخات البيض,طباخات البيض,جهاز سلق البيض
683,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > طباخات كهربائية متعددة,طباخات كهربائية متعددة,طباخ كهربائي 
684,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > غلايات كهربائية,غلايات كهربائية,غلاية كهربائية
685,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > فاكووم كليانيرس,فاكووم كليانيرس,مكنسة كهربائية
686,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > قلايات كهربائية ومقلاة هوائية,قلايات كهربائية ومقلاة هوائية,قلاية كهربائية
687,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الآيس كريم,ماكينات الآيس كريم,ماكينة آيس كريم
688,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات التنظيف بالبخار,ماكينات التنظيف بالبخار,ماكينة تنظيف بالبخار
689,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الخياطة,ماكينات الخياطة,ماكينة خياطة
690,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات الشاي,ماكينات الشاي,ماكينة شاي
691,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > ماكينات تنظيف السجاد,ماكينات تنظيف السجاد,ماكينة تنظيف سجاد
692,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > محمصة الوفل,محمصة الوفل,ماكينة وافل
693,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مستخرج العصير,مستخرج العصير,عصارة فواكه
694,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مطاحن اللحوم,مطاحن اللحوم,مفرمة لحمة
695,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > معالجات الطعام,معالجات الطعام,محضرة طعام
696,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مكانس قابلة لإعادة الشحن,مكانس قابلة لإعادة الشحن,مكنسة شحن
697,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > مكاوي,مكاوي,مكواة
698,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > منظف النوافذ,منظف النوافذ,جهاز تنظيف نوافذ
699,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > أجهزة منزلية صغيرة > يليكتريك جريللس & جريددليس,يليكتريك جريللس & جريددليس,شواية كهربائية
700,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > جهاز تدفئة القدمين,جهاز تدفئة القدمين,دفاية قدمين
701,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > جهاز تنقية الهواء ومرطب الهواء,جهاز تنقية الهواء ومرطب الهواء,منقي ومرطب هواء
702,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخانات المياه,سخانات المياه,سخان مياه
703,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > سخانات كهربائية,سخانات كهربائية,سخان كهربائي
704,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > غلايات كومبي,غلايات كومبي,كومبي
705,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > فانس,فانس,مروحة
706,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > مراوح السقف,مراوح السقف,مروحة سقف
707,تعديل الاسم,سلع مستعملة وجديدة > أجهزة منزلية كهربائية > تدفئة وتبريد وتهوية > مكيف الهواء,مكيف الهواء,مكيف
708,تعديل الاسم,سلع مستعملة وجديدة > ديكور المنزل > منتجات ديكور > أعواد وحوامل البخور,أعواد وحوامل البخور,بخور ومباخر
709,تعديل الاسم,سلع مستعملة وجديدة > ديكور المنزل > منتجات ديكور > أنابيب النرجيلة,أنابيب النرجيلة,أركيلة ومستلزماتها
710,تعديل الاسم,سلع مستعملة وجديدة > ديكور المنزل > منتجات ديكور > بوولس & بلاتيس,بوولس & بلاتيس,صحون وزبادي
